id,name,address,market,submarket,sale_date,class,units,year_built,sf,avg_sf,sale_price,cap_rate,ppu,psf,buyer,seller,notes,lat,lng
1,Esperanza at Duarte Station,"Esperanza at Duarte Station, Duarte",Los Angeles,Duarte,2026-02-27,,344,2023.0,269083.0,782.0,141000000.0,4.75,409883.0,524.0,Holland Partners with Invesco/State of Florida,MBK Real Estate/Haseko,,34.1391,-117.9709
2,C on Pico,"1242 W Pico Blvd, Los Angeles",Los Angeles,Los Angeles,2026-01-21,,94,2014.0,,,38000000.0,,404255.0,,JRK Property Holdings,,,34.0423629,-118.2720341
3,mResidences Miracle Mile,"6675 W Olympic Blvd, Los Angeles",Los Angeles,Los Angeles,2026-01-08,,60,2008.0,77220.0,1287.0,30150000.0,,502500.0,390.44,Alliance Residential,,,34.0594481,-118.3741802
4,Stella,"13488 W Maxella Ave, Marina Del Rey, CA 90292",Los Angeles,Marina del Rey,2025-10-01,,244,2013.0,236785.0,970.0,141000000.0,4.66,577868.0,595.48,Carmel Partners,Nuveen,"Value add play.

Nuveen bought in 2013 for $167.3M ($686k/unit)",33.9855623,-118.4422136
5,Santal Thousand Oaks,"299 Thousand Oaks Blvd, Thousand Oaks, CA 91360",Ventura County,Thousand Oaks,2025-10-01,,142,2023.0,125243.0,813.0,83000000.0,5.0,584507.0,662.71,BlackRock,Latigo Group,"Includes 9,821SF of retail.",34.1706,-118.8376
6,Avila,"75 W Walnut St, Pasadena, CA 91103",Los Angeles,Pasadena,2025-07-24,,201,2017.0,175838.0,874.0,115000000.0,4.45,572139.0,654.01,Acacia,Greystar,,34.1502298,-118.1521692
7,The 5550,"5550 Hollywood Blvd, Los Angeles, CA 90028",Los Angeles,Hollywood,2025-06-01,,280,2018.0,204400.0,730.0,98350000.0,5.0,351250.0,481.0,Grubb Properties/PCCP,Vanbarton,Assumable dent of 4.37% I/O through Nov 2027,34.1013517,-118.3105011
8,Modera Glendale,"600 N Central Ave, Glendale, CA 91203",Los Angeles,Glendale,2025-04-23,A,235,2015.0,187073.0,796.0,126000000.0,4.54,536170.0,673.53,Sobrato,MillCreek | Rockwood,,34.1553024,-118.2576688
9,the BW,1168 South Barrington Avenue,Los Angeles,Brentwood,2025-04-07,A,78,2013.0,77142.0,989.0,58100000.0,4.75,744871.0,753.16,Famh Group,California Landmark Group,"Includes 2,300sf of retail.",34.0500356,-118.4612607
10,Vinz on Fairfax,"950 S Fairfax Ave, Los Angeles, CA 90036",Los Angeles,Mid-Wilshire,2025-01-31,A,144,2018.0,124581.0,837.0,68421500.0,5.1,475149.0,549.21,Seminole Real Estate Fund,Alliance Residential,,34.0593636,-118.3631246
